# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,1.1678914e-4,0.0233615,2.3372575,0.0233615,2.3372575,0,0,0,0,0,0,43.5,-120,9.8005961,0,0,0,0,2.7996384e4,4907.6407068,34.0887393,0.1091298,NaN,237.562642,NaN,6.9745633e-5,5142.5525895,339.8160167,1.0407182e-5,1.7428149,1.7428149,1.6095572,0.0132577,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4714208e-6,16.129,204.3171233,90,0,0,6.0299992,858.3245579,334.9530795,0.01,0.001997
0.02,0.0016811,0.2895171,26.6188577,0.2895171,26.6188577,0,0,0,0,0,0,43.5,-120,9.8005961,0,0,0,0,2.7991279e4,4902.5364136,34.0841172,0.1091254,NaN,237.5456335,NaN,8.6435126e-4,6.3731176e4,1019.42805,9.4749243e-4,1.033112,1.033112,0.8998318,0.0132801,0.1200001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0628092e-5,16.129,204.3171233,90,0,0,6.0299891,858.3243915,334.9530734,0.01,0.0026381
0.03,0.0071214,0.7985545,50.9091762,0.7985545,50.9091762,0,0,0,0,0,0,43.5,-120,9.8005961,0,0,0,0,2.7986175e4,4897.4321204,34.0794935,0.109121,NaN,237.5286188,NaN,0.0023841,1.7578511e5,1699.0400833,0.0057744,0.8275973,0.8275973,0.6942985,0.0132981,0.1200007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.4479296e-5,16.129,204.3171233,90,0,0,6.0299537,858.3238128,334.9530519,0.01,0.0031223
0.04,0.0182657,1.4303418,63.191904,1.4303418,63.191904,0,0,0,0,0,0,43.5,-120,9.8005961,0,0,0,0,2.7975918e4,4887.1754763,34.0701978,0.1091121,NaN,237.4944104,NaN,0.0042703,3.1485961e5,2042.0487833,0.0165628,0.7399038,0.7399038,0.6065886,0.0133129,0.1200024,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.5131625e-4,16.129,204.3171233,90,0,0,6.0298813,858.3226274,334.9530081,0.01,0.0035256
0.05,0.0357406,2.064682,63.4471552,2.064682,63.4471552,0,0,0,0,0,0,43.5,-120,9.800596,0,0,0,0,2.7965662e4,4876.9188323,34.0608954,0.1091033,NaN,237.460177,NaN,0.0061641,4.5449559e5,2048.45415,0.032321,0.6929476,0.6929476,0.5596179,0.0133248,0.1200049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1842327e-4,16.129,204.3171233,90,0,0,6.0297677,858.3207685,334.9529392,0.01,0.003936
0.06,0.0595716,2.7015753,63.7024226,2.7015753,63.7024226,0,0,0,0,0,0,43.5,-120,9.800596,0,0,0,0,2.7955405e4,4866.6621883,34.0515865,0.1090944,NaN,237.4259184,NaN,0.0080655,5.9469284e5,2054.8595167,0.0528599,0.6619345,0.6619345,0.5285906,0.0133354,0.1200085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8580037e-4,16.129,204.3171233,90,0,0,6.0296128,858.3182336,334.9528453,0.01,0.0043455
0.07,0.0897844,3.3410174,63.9574024,3.3410174,63.9574024,0,0,0,0,0,0,43.5,-120,9.8005959,0,0,0,0,2.7945052e4,4856.3095645,34.0421839,0.1090855,NaN,237.3913137,NaN,0.0099746,7.3545022e5,2061.2492,0.0780701,0.6392212,0.6392212,0.5058628,0.0133454,0.1200129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5344712e-4,16.129,204.3171233,90,0,0,6.0294164,858.3150198,334.9527263,0.01,0.0047007
0.08,0.1264043,3.9830042,64.2118451,3.9830042,64.2118451,0,0,0,0,0,0,43.5,-120,9.8005958,0,0,0,0,2.79347e4,4845.9569407,34.0327745,0.1090766,NaN,237.3566834,NaN,0.0118912,8.7676661e5,2067.6232,0.1078829,0.6215221,0.6215221,0.4881486,0.0133552,0.1200184,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2136308e-4,16.129,204.3171233,90,0,0,6.0291784,858.3111245,334.9525821,0.01,0.0050579
0.09,0.1694567,4.6275359,64.4663131,4.6275359,64.4663131,0,0,0,0,0,0,43.5,-120,9.8005957,0,0,0,0,2.7924347e4,4835.6043169,34.0233584,0.1090676,NaN,237.3220274,NaN,0.0138155,1.0186418e6,2073.9972,0.1422544,0.6071464,0.6071464,0.4737568,0.0133648,0.1200248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.8954827e-4,16.129,204.3171233,90,0,0,6.0288985,858.306545,334.9524125,0.01,0.0054188
0.1,0.2189672,5.2746083,64.7204727,5.2746083,64.7204727,0,0,0,0,0,0,43.5,-120,9.8005956,0,0,0,0,2.7913899e4,4825.1561963,34.0138487,0.1090586,NaN,237.2870257,NaN,0.0157473,1.1610747e6,2080.3547333,0.1811566,0.5951184,0.5951184,0.4617116,0.0133745,0.1200322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.5800223e-4,16.129,204.3171233,90,0,0,6.0285767,858.3012785,334.9522175,0.01,0.0057798
0.11,0.2749611,5.924217,64.9740707,5.924217,64.9740707,0,0,0,0,0,0,43.5,-120,9.8005954,0,0,0,0,2.7903451e4,4814.7080757,34.0043321,0.1090496,NaN,237.2519978,NaN,0.0176868,1.304064e6,2086.6958,0.2245731,0.5848276,0.5848276,0.4514026,0.0133844,0.1200407,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.267245e-4,16.129,204.3171233,90,0,0,6.0282128,858.2953223,334.9519969,0.01,0.0061381
0.12,0.3374638,6.5763622,65.2276972,6.5763622,65.2276972,0,0,0,0,0,0,43.5,-120,9.8005953,0,0,0,0,2.7893003e4,4804.2599551,33.9948087,0.1090406,NaN,237.2169436,NaN,0.0196338,1.4476095e6,2093.0368667,0.2724961,0.575869,0.575869,0.4424244,0.0133944,0.1200501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9571512e-4,16.129,204.3171233,90,0,0,6.0278065,858.2886738,334.9517507,0.01,0.006494
0.13,0.4065006,7.2310394,65.4809917,7.2310394,65.4809917,0,0,0,0,0,0,43.5,-120,9.8005951,0,0,0,0,2.788246e4,4793.7168434,33.9851918,0.1090315,NaN,237.1815441,NaN,0.0215883,1.59171e6,2099.3607333,0.3249241,0.5679608,0.5679608,0.4344954,0.0134048,0.1200606,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.6497359e-4,16.129,204.3171233,90,0,0,6.0273577,858.2813303,334.9514788,0.01,0.0068417
0.14,0.4820968,7.8882439,65.7336991,7.8882439,65.7336991,0,0,0,0,0,0,43.5,-120,9.8005949,0,0,0,0,2.7871917e4,4783.1737317,33.9755678,0.1090224,NaN,237.1461178,NaN,0.0235504,1.7363643e6,2105.6674,0.3818607,0.5609,0.5609,0.4274124,0.0134155,0.1200721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3449943e-4,16.129,204.3171233,90,0,0,6.0268664,858.273289,334.951181,0.01,0.0071851
0.15,0.5642777,8.547976,65.9864356,8.547976,65.9864356,0,0,0,0,0,0,43.5,-120,9.8005946,0,0,0,0,2.7861373e4,4772.6306199,33.9659368,0.1090133,NaN,237.1106647,NaN,0.0255201,1.8815722e6,2111.9740667,0.443314,0.5545358,0.5545358,0.4210246,0.0134265,0.1200847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.0429267e-4,16.129,204.3171233,90,0,0,6.0263322,858.2645473,334.9508573,0.01,0.0075334
0.16,0.6530685,9.2102309,66.2388143,9.2102309,66.2388143,0,0,0,0,0,0,43.5,-120,9.8005944,0,0,0,0,2.7850736e4,4761.9930451,33.9562125,0.1090042,NaN,237.0748667,NaN,0.0274973,2.0273323e6,2118.2627833,0.5092951,0.5487532,0.5487532,0.415217,0.0134379,0.1200983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.7435279e-4,16.129,204.3171233,90,0,0,6.0257551,858.2551025,334.9505076,0.01,0.0078967
0.17,0.7484944,9.8750038,66.490578,9.8750038,66.490578,0,0,0,0,0,0,43.5,-120,9.8005941,0,0,0,0,2.7840098e4,4751.3554702,33.946481,0.108995,NaN,237.0390414,NaN,0.029482,2.1736433e6,2124.53355,0.579818,0.543463,0.543463,0.4099003,0.0134497,0.120113,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010447,16.129,204.3171233,90,0,0,6.0251348,858.2449519,334.9501317,0.01,0.0140982
0.18,0.8505807,10.5422949,66.7423704,10.5422949,66.7423704,0,0,0,0,0,0,43.5,-120,9.8005938,0,0,0,0,2.7829461e4,4740.7178954,33.9367423,0.1089858,NaN,237.0031887,NaN,0.0314743,2.3205051e6,2130.8043167,0.6548997,0.5385943,0.5385943,0.4050035,0.013462,0.1201288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011153,16.129,204.3171233,90,0,0,6.0244712,858.2340929,334.9497296,0.01,0.014527
0.19,0.9593525,11.212099,66.9937779,11.212099,66.9937779,0,0,0,0,0,0,43.5,-120,9.8005935,0,0,0,0,2.7818729e4,4729.9864079,33.9269105,0.1089766,NaN,236.9669916,NaN,0.033474,2.4679161e6,2137.0563833,0.7345586,0.5340902,0.5340902,0.4004698,0.0134747,0.1201457,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011861,16.129,204.3171233,90,0,0,6.0237642,858.2225227,334.9493011,0.01,0.0148931
0.2,1.0748348,11.8844111,67.2445416,11.8844111,67.2445416,0,0,0,0,0,0,43.5,-120,9.8005932,0,0,0,0,2.7807998e4,4719.2549205,33.9170713,0.1089673,NaN,236.9307667,NaN,0.0354813,2.6158751e6,2143.28975,0.8188149,0.5299043,0.5299043,0.3962528,0.0134879,0.1201637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012573,16.129,204.3171233,90,0,0,6.0230136,858.2102387,334.9488462,0.01,0.0152405
0.21,1.1970528,12.5592313,67.4953328,12.5592313,67.4953328,0,0,0,0,0,0,43.5,-120,9.8005928,0,0,0,0,2.7797266e4,4708.523433,33.9072248,0.1089581,NaN,236.8945138,NaN,0.037496,2.7643819e6,2149.5231167,0.9076912,0.5259984,0.5259984,0.392314,0.0135016,0.1201828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0013286,16.129,204.3171233,90,0,0,6.0222192,858.1972382,334.9483648,0.01,0.0155912
0.22,1.3260315,13.2365544,67.7457099,13.2365544,67.7457099,0,0,0,0,0,0,43.5,-120,9.8005924,0,0,0,0,2.7786441e4,4697.6986065,33.8972853,0.1089487,NaN,236.8579172,NaN,0.0395183,2.9134349e6,2155.737,1.0012108,0.5223405,0.5223405,0.3886216,0.0135158,0.120203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014003,16.129,204.3171233,90,0,0,6.0213808,858.1835186,334.9478568,0.01,0.0159435
