# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,6.7880291e-4,0.1357746,13.5816558,0.1357746,13.5816558,0,0,0,0,0,0,43.5,-120,9.8005961,85.9881463,0,0,0,3.9599518e4,1.6510775e4,37.5773839,0.124719,NaN,252.5656184,NaN,0.0057938,4.2719746e5,925.9259259,2.3887328e-5,0.7004801,5.7967666e-4,0.5671531,0.0133226,0.1200044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.4363628e-5,16.129,204.3171233,90,0,1.9359112,6.0299956,858.3244981,334.9530773,0.01,0.0069749
0.02,0.0050543,0.739362,60.3712896,0.739362,60.3712896,0,0,0,0,0,0,43.5,-120,9.8005961,69.0237653,0,0,0,3.9585293e4,1.649655e4,37.5721801,0.1247019,NaN,252.5481165,NaN,0.0061661,4.5464782e5,2777.7777778,0.0031301,0.6929073,0.0670626,0.5595776,0.0133248,0.1200049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.8217305e-5,16.129,204.3171233,90,0,1.9284944,6.0299671,858.3240327,334.9530601,0.01,0.0075274
0.03,0.0176913,1.7881254,104.9052212,1.7881254,104.9052212,0,0,0,0,0,0,43.5,-120,9.8005961,47.0530967,0,0,0,3.9567482e4,1.6478739e4,37.565661,0.1246805,NaN,252.5261849,NaN,0.0078354,5.7772295e5,4538.6500208,0.029658,0.6651482,0.3935299,0.531806,0.0133342,0.120008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8916446e-4,16.129,204.3171233,90,0,1.9210777,6.029885,858.3226884,334.9530103,0.01,0.0078756
0.04,0.0412304,2.9198211,113.2095092,2.9198211,113.2095092,0,0,0,0,0,0,43.5,-120,9.800596,33.2409704,0,0,0,3.9541304e4,1.6452561e4,37.5560726,0.1246491,NaN,252.4939145,NaN,0.0104225,7.6848039e5,4864.0662128,0.0862371,0.6347076,0.6467,0.5013458,0.0133477,0.1200141,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.0888868e-4,16.129,204.3171233,90,0,1.9136609,6.029732,858.3201845,334.9529176,0.01,0.0082532
0.05,0.0758755,4.0093283,108.9890884,4.0093283,108.9890884,0,0,0,0,0,0,43.5,-120,9.800596,25.4288549,0,0,0,3.9515126e4,1.6426383e4,37.5464759,0.1246177,NaN,252.4616014,NaN,0.0132539,9.7724087e5,4694.1489787,0.1596152,0.6110588,0.7401922,0.4776739,0.013362,0.1200228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.2414793e-4,16.129,204.3171233,90,0,1.9062441,6.0295068,858.3164993,334.9527811,0.01,0.0092053
0.06,0.1212044,5.0565878,104.762821,5.0565878,104.762821,0,0,0,0,0,0,43.5,-120,9.8005959,20.7212509,0,0,0,3.9488948e4,1.6400205e4,37.5368709,0.1245862,NaN,252.4292455,NaN,0.0161405,1.1900743e6,4524.2317447,0.2429051,0.5929029,0.7595576,0.4594926,0.0133765,0.1200339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3493777e-4,16.129,204.3171233,90,0,1.9128689,6.0292122,858.3116776,334.9526026,0.01,0.0095824
0.07,0.1767945,6.0615414,100.5307828,6.0615414,100.5307828,0,0,0,0,0,0,43.5,-120,9.8005957,17.5713065,0,0,0,3.946277e4,1.6374027e4,37.5272576,0.1245548,NaN,252.3968466,NaN,0.0189824,1.399606e6,4354.3145106,0.3326626,0.5787322,0.7520782,0.4452943,0.013391,0.1200468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.4125208e-4,16.129,204.3171233,90,0,1.9194937,6.0288508,858.3057644,334.9523836,0.01,0.0099808
0.08,0.2422732,7.0343195,97.310192,7.0343195,97.310192,0,0,0,0,0,0,43.5,-120,9.8005956,15.3132272,0,0,0,3.943759e4,1.6348847e4,37.518003,0.1245246,NaN,252.3656419,NaN,0.021774,1.6054276e6,4224.6177787,0.4264442,0.5672563,0.7327395,0.4337889,0.0134058,0.1200616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4416285e-4,16.129,204.3171233,90,0,1.9261185,6.0284252,858.2987993,334.9521257,0.01,0.0108228
0.09,0.3175282,8.0167854,98.2789223,8.0167854,98.2789223,0,0,0,0,0,0,43.5,-120,9.8005954,13.5546105,0,0,0,3.9413075e4,1.6324332e4,37.5089854,0.1244951,NaN,252.3352233,NaN,0.0246199,1.8152429e6,4260.272,0.5258577,0.5573615,0.7067495,0.4238613,0.0134214,0.1200788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.4809787e-4,16.129,204.3171233,90,0,1.9327432,6.0279361,858.2907944,334.9518293,0.01,0.0111737
0.1,0.402679,9.0134835,99.7024935,9.0134835,99.7024935,0,0,0,0,0,0,43.5,-120,9.8005951,12.1428056,0,0,0,3.938856e4,1.6299817e4,37.4999605,0.1244657,NaN,252.3047668,NaN,0.0275257,2.0294723e6,4313.802,0.6330237,0.5486723,0.680641,0.4151358,0.0134381,0.1200985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.5353882e-4,16.129,204.3171233,90,0,1.939368,6.0273826,858.2817368,334.9514938,0.01,0.0115573
0.11,0.497868,10.0244289,101.1275331,10.0244289,101.1275331,0,0,0,0,0,0,43.5,-120,9.8005949,11.1380667,0,0,0,3.9364045e4,1.6275302e4,37.4909282,0.1244363,NaN,252.2742723,NaN,0.0305026,2.2489394e6,4367.332,0.752184,0.5409157,0.658613,0.4073388,0.0134559,0.120121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0010605,16.129,204.3171233,90,0,1.9736321,6.0267639,858.2716114,334.9511189,0.01,0.0123535
0.1199756,0.6029529,11.0439935,102.2383241,11.0439935,102.2383241,0,0,0,0,0,0,43.5,-120,9.8005946,10.3039113,0,0,0,3.9339777e4,1.6251034e4,37.4819797,0.1244071,NaN,252.2440473,NaN,0.0335125,2.4708331e6,4408.467239,0.8812098,0.5340046,0.6392215,0.4003836,0.0134749,0.120146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011683,16.129,204.3171233,90,0,2.0078128,6.0260808,858.2604334,334.950705,0.0099756,0.0129566
0.1290303,0.7071351,11.967879,102.0664108,11.967879,102.0664108,0,0,0,0,0,0,43.5,-120,9.8005942,9.6680232,0,0,0,3.9317862e4,1.6229119e4,37.4738929,0.1243808,NaN,252.2167219,NaN,0.0362452,2.6722865e6,4399.3775201,1.0060304,0.5283878,0.62388,0.394724,0.013493,0.1201708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0012661,16.129,204.3171233,90,0,2.0388379,6.0254036,858.2493514,334.9502946,0.0090547,0.0135291
0.137386,0.8106867,12.8180818,101.780653,12.8180818,101.780653,0,0,0,0,0,0,43.5,-120,9.8005939,9.1624879,0,0,0,3.929764e4,1.6208897e4,37.4664252,0.1243566,NaN,252.191479,NaN,0.0387633,2.8579156e6,4386.0072444,1.1276236,0.5236742,0.6113901,0.3899684,0.0135104,0.1201953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001356,16.129,204.3171233,90,0,2.067468,6.0247305,858.2383364,334.9498867,0.0083557,0.0140111
0.1451875,0.9137749,13.609841,101.5153661,13.609841,101.5153661,0,0,0,0,0,0,43.5,-120,9.8005936,8.7477052,0,0,0,3.9278758e4,1.6190015e4,37.4594484,0.1243339,NaN,252.1678869,NaN,0.0411108,3.0309593e6,4373.5993734,1.2467053,0.519622,0.6009714,0.385875,0.0135273,0.1202197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0014398,16.129,204.3171233,90,0,2.094199,6.0240605,858.2273708,334.9494806,0.0078015,0.0144525
0.1525351,1.0165075,14.3537241,101.266362,14.3537241,101.266362,0,0,0,0,0,0,43.5,-120,9.8005933,8.3621279,0,0,0,3.9260975e4,1.6172232e4,37.4528733,0.1243125,NaN,252.1456466,NaN,0.043314,3.1933623e6,4361.9656515,1.3686598,0.5184764,0.5943558,0.3846887,0.0135437,0.1202439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0015185,16.129,204.3171233,90,0,2.1098815,6.0233927,858.216443,334.949076,0.0073476,0.0148777
0.1635566,1.1808377,15.4663848,100.9774004,15.4663848,100.9775098,-8.7252468e-6,0,8.7252468e-6,-179.999979,0.0015972,0.1486859,43.5,-120,9.800593,7.7496761,0,2.8645156e-5,-7.1063371e-9,3.9234301e4,1.6145558e4,37.4430035,0.1242805,263.6422178,252.1122483,0.7148595,0.0466006,3.4356226e6,4347.8591702,1.5620416,0.518529,0.5860363,0.3846774,0.0135693,0.1202823,2.1645223,1.5472539,3.0814076e-4,0,0,0,0,1.5061422e-6,0.0016362,16.129,204.3171233,90,0,2.1063728,6.0223246,858.1989631,334.9484287,0.0110214,0.0153459
0.1800887,1.4502656,17.1280048,100.5426248,17.1280053,100.542751,-5.5939719e-5,0,5.5939719e-5,-179.9999484,0.0041438,0.159273,43.5,-120,9.8005925,6.9797294,0,8.1048583e-5,0,3.919429e4,1.6105547e4,37.4281824,0.1242325,265.3906782,252.0620656,0.8263756,0.0515173,3.7980085e6,4326.6994483,1.875498,0.5186138,0.5757581,0.3846588,0.01361,0.120345,1.9021707,1.5719851,4.7252866e-4,0,0,0,0,9.8658438e-6,0.0018119,16.129,204.3171233,89.9996792,-6.9640166e-4,2.1011096,6.0205733,858.1703039,334.9473674,0.0165322,0.015778
0.204887,1.9057078,19.6037917,99.8874459,19.6037934,99.8875971,-2.0920043e-4,0,2.0920043e-4,-179.9998987,0.0082768,0.173801,43.5,-120,9.8005916,6.0747157,0,1.8077031e-4,2.4886013e-8,3.9134272e4,1.6045529e4,37.4059136,0.1241604,267.5716816,251.9865991,0.966277,0.058857,4.3389203e6,4294.9598655,2.398551,0.5187542,0.5641678,0.3846276,0.0136762,0.1204503,1.6069675,1.5532217,-8.3964139e-5,0,0,0,0,3.7602226e-5,0.0020738,16.129,204.3171233,89.9985294,-0.0024209,2.0950091,6.017613,858.1218586,334.9455735,0.0247982,0.0161819
0.2420843,2.7032881,23.2798252,98.8978599,23.2798301,98.8980473,-6.4201113e-4,0,6.4201113e-4,-179.9998116,0.0151099,0.1925232,43.5,-120,9.8005902,5.1050243,0,3.7749873e-4,3.6187021e-8,3.9044246e4,1.5955504e4,37.3724264,0.1240524,270.0736451,251.8729644,1.1284445,0.0697768,5.1435443e6,4247.3504912,3.3021782,0.5189941,0.552683,0.3845736,0.0137876,0.1206329,1.3065898,1.4740217,-4.7228765e-4,0,0,0,0,1.1667336e-4,0.0024626,16.129,204.3171233,89.9948541,-0.0046324,2.096824,6.0124288,858.0370211,334.9424319,0.0371973,0.0165788
0.2920843,3.9889867,28.1484901,97.4790971,28.1485012,97.4792986,-0.0016432,-1.0149655e-8,0.0016432,-179.9996461,0.0249823,0.1981928,43.5,-120,9.8005878,4.0508875,0,7.2780176e-4,-3.3851902e-8,3.8923235e4,1.5834492e4,37.3272539,0.1239071,273.0070208,251.7193905,1.3198357,0.0842469,6.2094413e6,4180.3874733,4.7173151,0.5193698,0.5416948,0.3844878,0.0139593,0.1209227,0.9988571,1.317587,-4.5663929e-4,0,0,0,0,2.9750542e-4,0.0029776,16.129,204.3171233,89.9850491,-0.0030942,2.0257276,6.0040719,857.9002611,334.9373676,0.05,0.0169535
0.3420843,5.516049,32.9363371,95.894567,32.9363559,95.8947917,-0.0031446,-2.8357036e-8,0.0031446,-179.9994833,0.0351462,0.207583,43.5,-120,9.8005838,3.5428404,0,0.0011721,1.6751142e-7,3.8804277e4,1.5715535e4,37.2826678,0.1237643,274.5117751,251.5674889,1.4225486,0.0985295,7.2611015e6,4107.817568,6.3988294,0.5198059,0.5373013,0.3843874,0.0141564,0.121262,0.8576248,1.2191653,-4.3981071e-4,0,0,0,0,5.641264e-4,0.0034844,16.129,204.3171233,89.9681064,-0.0032345,2.0927483,5.9941453,857.7378145,334.931352,0.05,0.0173456
0.3920843,7.2821968,37.7117676,95.6399254,37.7117944,95.6400932,-0.0051545,-6.3619644e-8,0.0051545,-179.9992928,0.0450062,0.1791845,43.5,-120.0000001,9.8005791,2.9519768,0,0.0017168,1.95793e-7,3.8689276e4,1.5600533e4,37.2393932,0.1236262,276.3370931,251.4197509,1.5448783,0.1127534,8.3079503e6,4087.7151334,8.3075104,0.5203052,0.5327904,0.3842718,0.0143807,0.1216527,0.6991047,1.0786798,2.4171208e-4,0,0,0,0,9.2422886e-4,0.0039895,16.129,204.3171233,89.9422307,-0.0040833,2.0278977,5.9826654,857.5499475,334.9243952,0.05,0.0177339
0.4420843,9.2873002,42.4945172,95.7833488,42.4945501,95.7834389,-0.0076111,-1.2982029e-7,0.0076111,-179.9990227,0.0528595,0.1314204,43.5,-120.0000001,9.8005737,2.515705,0,0.0023332,1.7450843e-7,3.8574274e4,1.5485531e4,37.1959487,0.1234882,277.7440126,251.271132,1.6413219,0.1270127,9.3568434e6,4083.2955916,10.4862214,0.5208714,0.5301245,0.3841402,0.014634,0.1220972,0.5860651,0.9604563,2.9492628e-4,0,0,0,0,0.0013454,0.0044955,16.129,204.3171233,89.9059057,-0.0034288,1.9898068,5.9696322,857.3366621,334.9164971,0.05,0.018069
0.4920843,11.5317174,47.2842666,95.9202192,47.2843023,95.9202483,-0.0103967,-2.3300544e-7,0.0103967,-179.9987159,0.0580894,0.0746793,43.5,-120.0000001,9.8005675,2.2635843,0,0.0030341,-1.934481e-7,3.8459272e4,1.5370529e4,37.1523327,0.1233501,278.5858754,251.1216243,1.702787,0.1413106,1.0407947e7,4078.8760498,12.9509999,0.5215057,0.5290885,0.3839926,0.0149172,0.1225959,0.522326,0.8877519,-4.4820106e-4,0,0,0,0,0.0018381,0.0050022,16.129,204.3171233,89.8577339,-0.0015263,2.044731,5.9550435,857.0979205,334.9076564,0.05,0.0183967
0.5420843,14.0157906,52.0807127,96.0516655,52.0807462,96.0516766,-0.0133514,-3.6921831e-7,0.0133514,-179.9984155,0.0590827,0.0462265,43.5,-120.0000002,9.8005606,1.848573,0,0.0038064,-3.8526391e-7,3.834427e4,1.5255527e4,37.1085438,0.123212,280.0013173,250.9712197,1.7998696,0.1556121,1.1458612e7,4074.456508,15.6490046,0.5222074,0.5273618,0.3838292,0.0152302,0.123148,0.4197823,0.7528155,2.3709417e-4,0,0,0,0,0.0023857,0.0055096,16.129,204.3171233,89.7962199,7.0326033e-5,1.9254598,5.938897,856.8336865,334.8978716,0.05,0.0187454
