# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,1.171e-4,0.023,2.343,0.023,2.343,0,0,0,0,0,0,37.93,-113.045,9.795,89.782,0,0,0,2.8e4,4908,34.089,0.109,NaN,237.6,NaN,0.02,1.434e6,339.816,2.928e-8,0.577,6.166e-8,0.443,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.694e-6,16.1,200,90.012,0,6.706,3.697,821.4,333.539,0.01,0.002
0.02,0.002,0.29,26.625,0.29,26.625,0,0,0,0,0,0,37.93,-113.045,9.795,87.548,0,0,0,2.799e4,4903,34.084,0.109,NaN,237.5,NaN,0.02,1.435e6,1019.428,5.406e-5,0.577,1.136e-4,0.443,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.331e-5,16.1,200,90.012,0,6.706,3.697,821.4,333.539,0.01,0.002
0.03,0.007,0.799,50.915,0.799,50.915,0,0,0,0,0,0,37.93,-113.045,9.795,83.193,0,0,0,2.799e4,4897,34.079,0.109,NaN,237.5,NaN,0.02,1.444e6,1699.04,0.001,0.576,0.002,0.443,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.186e-5,16.1,200,90.012,0,6.706,3.697,821.4,333.539,0.01,0.003
0.04,0.018,1.431,63.198,1.431,63.198,0,0,0,0,0,0,37.93,-113.045,9.795,77.98,0,0,0,2.798e4,4887,34.07,0.109,NaN,237.5,NaN,0.021,1.466e6,2042.049,0.006,0.575,0.012,0.441,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.645e-4,16.1,200,90.012,0,6.706,3.697,821.4,333.539,0.01,0.003
0.05,0.036,2.065,63.454,2.065,63.454,0,0,0,0,0,0,37.93,-113.045,9.795,72.88,0,0,0,2.797e4,4877,34.061,0.109,NaN,237.5,NaN,0.021,1.5e6,2048.454,0.016,0.573,0.032,0.439,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.375e-4,16.1,200,90.012,0,6.706,3.697,821.4,333.539,0.01,0.004
0.06,0.06,2.702,63.709,2.702,63.709,0,0,0,0,0,0,37.93,-113.045,9.795,68.067,0,0,0,2.795e4,4867,34.052,0.109,NaN,237.4,NaN,0.022,1.546e6,2054.86,0.034,0.57,0.062,0.437,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.108e-4,16.1,200,90.012,0,6.706,3.697,821.4,333.539,0.01,0.004
0.07,0.09,3.341,63.964,3.341,63.964,0,0,0,0,0,0,37.93,-113.045,9.795,63.541,0,0,0,2.795e4,4856,34.042,0.109,NaN,237.4,NaN,0.022,1.602e6,2061.249,0.061,0.567,0.103,0.434,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.843e-4,16.1,200,90.012,0,6.706,3.697,821.4,333.539,0.01,0.005
0.08,0.126,3.984,64.218,3.984,64.218,0,0,0,0,0,0,37.93,-113.045,9.795,59.301,0,0,0,2.793e4,4846,34.033,0.109,NaN,237.4,NaN,0.023,1.668e6,2067.623,0.096,0.564,0.15,0.431,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.581e-4,16.1,200,90.012,0,6.706,3.696,821.4,333.539,0.01,0.005
0.09,0.169,4.628,64.472,4.628,64.472,0,0,0,0,0,0,37.93,-113.045,9.795,55.405,0,0,0,2.792e4,4836,34.023,0.109,NaN,237.3,NaN,0.024,1.742e6,2073.997,0.14,0.561,0.2,0.427,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.323e-4,16.1,200,90.012,0,6.706,3.696,821.4,333.539,0.01,0.006
0.1,0.219,5.275,64.726,5.275,64.726,0,0,0,0,0,0,37.93,-113.045,9.795,51.795,0,0,0,2.791e4,4825,34.014,0.109,NaN,237.3,NaN,0.026,1.824e6,2080.355,0.194,0.557,0.252,0.423,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.067e-4,16.1,200,90.012,0,6.706,3.696,821.4,333.539,0.01,0.006
