# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,0.002,0.367,36.695,0.367,36.695,0,0,0,0,0,0,28.61,-80.6,9.792,80.532,0,0,0,3.79e4,1.481e4,36.937,0.123,NaN,250.381,NaN,0.007,5.476e5,1761.816,4.278e-4,0.671,0.007,0.538,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.697e-5,16.129,204.317,90,0,2.2,15,1013.25,340.389,0.01,0.002
0.02,0.012,1.659,129.266,1.659,129.266,0,0,0,0,0,0,28.61,-80.6,9.792,52.564,0,0,0,3.788e4,1.479e4,36.931,0.123,NaN,250.358,NaN,0.008,6.702e5,5267.872,0.026,0.649,0.28,0.516,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.124e-4,16.129,204.317,90,0,2.167,15,1013.249,340.389,0.01,0.003
0.03,0.037,3.331,167.213,3.331,167.213,0,0,0,0,0,0,28.61,-80.6,9.792,32.66,0,0,0,3.785e4,1.476e4,36.919,0.123,NaN,250.316,NaN,0.012,9.714e5,6699.978,0.124,0.612,0.633,0.478,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.264e-4,16.129,204.317,90,0,2.135,15,1013.246,340.389,0.01,0.003
0.04,0.079,5.006,167.578,5.006,167.578,0,0,0,0,0,0,28.61,-80.6,9.792,22.784,0,0,0,3.782e4,1.473e4,36.907,0.123,NaN,250.274,NaN,0.016,1.333e6,6708.442,0.27,0.583,0.732,0.449,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.409e-4,16.129,204.317,90,0,2.103,14.999,1013.241,340.389,0.01,0.004
0.05,0.137,6.684,167.939,6.684,167.939,0,0,0,0,0,0,28.61,-80.6,9.792,17.208,0,0,0,3.779e4,1.47e4,36.895,0.123,NaN,250.232,NaN,0.021,1.718e6,6716.747,0.447,0.562,0.73,0.428,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.558e-4,16.129,204.317,90,0,2.07,14.999,1013.234,340.388,0.01,0.004
0.06,0.212,8.362,167.799,8.362,167.799,0,0,0,0,0,0,28.61,-80.6,9.792,13.859,0,0,0,3.776e4,1.467e4,36.883,0.123,NaN,250.191,NaN,0.025,2.115e6,6706.186,0.645,0.546,0.694,0.412,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,2.063,14.999,1013.225,340.388,0.01,0.004
0.07,0.304,10.034,167.315,10.034,167.315,0,0,0,0,0,0,28.61,-80.6,9.792,11.578,0,0,0,3.773e4,1.464e4,36.871,0.122,NaN,250.149,NaN,0.03,2.515e6,6682.675,0.859,0.533,0.654,0.399,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,2.056,14.998,1013.214,340.388,0.01,0.005
0.08,0.413,11.696,166.83,11.696,166.83,0,0,0,0,0,0,28.61,-80.6,9.792,9.934,0,0,0,3.77e4,1.461e4,36.859,0.122,NaN,250.107,NaN,0.035,2.916e6,6659.204,1.094,0.522,0.62,0.389,0.013,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,16.129,204.317,90,0,2.048,14.997,1013.202,340.387,0.01,0.005
0.089,0.519,13.118,166.37,13.118,166.37,0,0,0,0,0,0,28.61,-80.6,9.792,8.849,0,0,0,3.767e4,1.458e4,36.848,0.122,NaN,250.072,NaN,0.039,3.26e6,6637.438,1.325,0.518,0.601,0.385,0.014,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,16.129,204.317,90,0,2.042,14.997,1013.189,340.387,0.009,0.006
0.096,0.623,14.383,165.969,14.383,165.969,0,0,0,0,0,0,28.61,-80.6,9.792,8.06,0,0,0,3.765e4,1.456e4,36.839,0.122,NaN,250.04,NaN,0.043,3.567e6,6618.426,1.558,0.518,0.59,0.385,0.014,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,16.129,204.317,90,0,2.037,14.996,1013.177,340.386,0.008,0.006
