# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,8.627e-4,0.173,17.261,0.173,17.261,0,0,0,0,0,0,28.61,-80.6,9.792,85.54,0,0,0,3.423e4,1.651e4,26.971,0.105,NaN,243.886,NaN,0.007,5.601e5,925.926,4.867e-5,0.75,8.489e-4,0.582,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.209e-5,15.558,190.094,90,0,2.212,15,1013.25,340.389,0.01,0.002
0.02,0.006,0.886,71.4,0.886,71.4,0,0,0,0,0,0,28.61,-80.6,9.792,68.016,0,0,0,3.421e4,1.65e4,26.965,0.105,NaN,243.862,NaN,0.007,5.977e5,2777.778,0.005,0.742,0.082,0.574,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.135e-4,15.558,190.094,90,0,2.196,15,1013.249,340.389,0.01,0.002
0.03,0.021,2.115,122.937,2.115,122.937,0,0,0,0,0,0,28.61,-80.6,9.792,45.851,0,0,0,3.419e4,1.648e4,26.957,0.105,NaN,243.832,NaN,0.009,7.666e5,4538.65,0.048,0.714,0.449,0.545,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.708e-4,15.558,190.094,90,0,2.179,15,1013.248,340.389,0.01,0.002
0.04,0.049,3.44,132.56,3.44,132.56,0,0,0,0,0,0,28.61,-80.6,9.792,32.153,0,0,0,3.417e4,1.645e4,26.945,0.105,NaN,243.788,NaN,0.012,1.026e6,4864.066,0.138,0.683,0.717,0.514,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.405e-4,15.558,190.094,90,0,2.163,15,1013.244,340.389,0.01,0.003
0.05,0.09,4.717,127.689,4.717,127.689,0,0,0,0,0,0,28.61,-80.6,9.792,24.465,0,0,0,3.414e4,1.643e4,26.933,0.105,NaN,243.744,NaN,0.015,1.308e6,4694.149,0.253,0.659,0.81,0.49,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.039e-4,15.558,190.094,90,0,2.146,14.999,1013.239,340.389,0.01,0.003
0.06,0.143,5.944,122.81,5.944,122.81,0,0,0,0,0,0,28.61,-80.6,9.792,19.598,0,0,0,3.412e4,1.64e4,26.921,0.105,NaN,243.7,NaN,0.019,1.593e6,4524.232,0.383,0.641,0.827,0.472,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.611e-4,15.558,190.094,90,0,2.116,14.999,1013.233,340.388,0.01,0.003
0.07,0.208,7.123,117.923,7.123,117.923,0,0,0,0,0,0,28.61,-80.6,9.792,16.329,0,0,0,3.409e4,1.637e4,26.909,0.105,NaN,243.656,NaN,0.022,1.874e6,4354.315,0.522,0.626,0.814,0.458,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.12e-4,15.558,190.094,90,0,2.087,14.999,1013.226,340.388,0.01,0.003
0.08,0.285,8.265,114.206,8.265,114.206,0,0,0,0,0,0,28.61,-80.6,9.792,13.978,0,0,0,3.406e4,1.635e4,26.897,0.105,NaN,243.613,NaN,0.025,2.15e6,4224.618,0.662,0.615,0.784,0.446,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,2.057,14.998,1013.217,340.388,0.01,0.004
0.09,0.374,9.418,115.339,9.418,115.339,0,0,0,0,0,0,28.61,-80.6,9.792,12.15,0,0,0,3.404e4,1.632e4,26.886,0.105,NaN,243.572,NaN,0.028,2.432e6,4260.272,0.811,0.605,0.751,0.437,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,2.028,14.998,1013.206,340.387,0.01,0.004
0.1,0.474,10.587,116.998,10.587,116.998,0,0,0,0,0,0,28.61,-80.6,9.792,10.687,0,0,0,3.402e4,1.63e4,26.874,0.105,NaN,243.53,NaN,0.032,2.719e6,4313.802,0.972,0.596,0.719,0.428,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,1.998,14.997,1013.194,340.387,0.01,0.004
0.109,0.579,11.707,118.61,11.707,118.61,0,0,0,0,0,0,28.61,-80.6,9.792,9.661,0,0,0,3.399e4,1.628e4,26.864,0.105,NaN,243.491,NaN,0.035,2.997e6,4365.847,1.141,0.589,0.695,0.42,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,1.993,14.996,1013.182,340.387,0.009,0.005
0.118,0.683,12.731,119.912,12.731,119.912,0,0,0,0,0,0,28.61,-80.6,9.792,8.877,0,0,0,3.397e4,1.626e4,26.854,0.104,NaN,243.455,NaN,0.038,3.252e6,4407.579,1.311,0.584,0.678,0.416,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,1.988,14.996,1013.17,340.386,0.009,0.005
0.126,0.787,13.672,119.855,13.672,119.855,0,0,0,0,0,0,28.61,-80.6,9.792,8.258,0,0,0,3.395e4,1.624e4,26.845,0.104,NaN,243.423,NaN,0.041,3.487e6,4403.353,1.485,0.584,0.668,0.416,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,1.984,14.995,1013.158,340.386,0.008,0.005
0.133,0.89,14.547,119.575,14.547,119.575,0,0,0,0,0,0,28.61,-80.6,9.792,7.752,0,0,0,3.393e4,1.622e4,26.837,0.104,NaN,243.393,NaN,0.043,3.705e6,4391.705,1.658,0.585,0.661,0.416,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,1.98,14.994,1013.146,340.385,0.007,0.006
