# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0.01,-1.76e-4,-0.035,-3.518,0.035,3.518,0,0,0,0,0,0,28.61,-80.6,9.792,91.016,0,0,0,2.577e4,8057.547,24.863,0.095,NaN,232.693,NaN,0.006,5.011e5,161.698,-4.86e-7,0.764,-1.059e-5,0.596,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.506e-6,15.558,190.094,90,0,1.985,15,1013.25,340.389,0.01,0.001
0.02,4.516e-4,0.09,9.034,0.09,9.034,0,0,0,0,0,0,28.61,-80.6,9.792,87.408,0,0,0,2.577e4,8051.093,24.857,0.095,NaN,232.67,NaN,0.006,5.041e5,485.095,8.032e-6,0.763,1.729e-4,0.595,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.156e-5,15.558,190.094,90,0,1.995,15,1013.25,340.389,0.01,0.002
0.03,0.002,0.306,21.593,0.306,21.593,0,0,0,0,0,0,28.61,-80.6,9.792,81.319,0,0,0,2.576e4,8044.64,24.851,0.095,NaN,232.647,NaN,0.006,5.121e5,808.492,2.906e-4,0.761,0.006,0.593,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.921e-5,15.558,190.094,90,0,2.005,15,1013.25,340.389,0.01,0.002
0.04,0.007,0.648,34.158,0.648,34.158,0,0,0,0,0,0,28.61,-80.6,9.792,72.186,0,0,0,2.575e4,8038.187,24.845,0.095,NaN,232.623,NaN,0.006,5.344e5,1131.889,0.002,0.756,0.047,0.588,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.293e-5,15.558,190.094,90,0,2.016,15,1013.249,340.389,0.01,0.002
0.05,0.016,1.115,46.729,1.115,46.729,0,0,0,0,0,0,28.61,-80.6,9.792,61.176,0,0,0,2.575e4,8031.733,24.839,0.095,NaN,232.6,NaN,0.007,5.837e5,1455.286,0.01,0.745,0.168,0.577,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.428e-4,15.558,190.094,90,0,2.026,15,1013.248,340.389,0.01,0.002
0.06,0.03,1.708,59.306,1.708,59.306,0,0,0,0,0,0,28.61,-80.6,9.792,49.541,0,0,0,2.574e4,8025.28,24.833,0.095,NaN,232.577,NaN,0.008,6.644e5,1778.683,0.03,0.73,0.378,0.562,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.187e-4,15.558,190.094,90,0,2.003,15,1013.246,340.389,0.01,0.003
0.07,0.051,2.427,71.888,2.427,71.888,0,0,0,0,0,0,28.61,-80.6,9.792,39.199,0,0,0,2.573e4,8018.827,24.827,0.095,NaN,232.553,NaN,0.009,7.904e5,2102.08,0.068,0.71,0.595,0.542,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.107e-4,15.558,190.094,90,0,1.979,15,1013.244,340.389,0.01,0.003
0.08,0.079,3.271,84.476,3.271,84.476,0,0,0,0,0,0,28.61,-80.6,9.792,30.871,0,0,0,2.573e4,8012.373,24.821,0.095,NaN,232.53,NaN,0.011,9.62e5,2425.477,0.126,0.689,0.748,0.521,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.188e-4,15.558,190.094,90,0,1.956,14.999,1013.241,340.389,0.01,0.003
0.09,0.117,4.203,93.164,4.203,93.164,0,0,0,0,0,0,28.61,-80.6,9.792,24.69,0,0,0,2.572e4,8000.507,24.81,0.095,NaN,232.487,NaN,0.014,1.168e6,2647.848,0.204,0.67,0.821,0.501,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.381e-4,15.558,190.094,90,0,1.932,14.999,1013.236,340.388,0.01,0.003
0.1,0.163,5.14,93.758,5.14,93.758,0,0,0,0,0,0,28.61,-80.6,9.792,20.372,0,0,0,2.57e4,7987.288,24.798,0.095,NaN,232.439,NaN,0.016,1.384e6,2661.853,0.294,0.654,0.839,0.485,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.581e-4,15.558,190.094,90,0,1.909,14.999,1013.231,340.388,0.01,0.004
0.11,0.219,6.081,94.107,6.081,94.107,0,0,0,0,0,0,28.61,-80.6,9.792,17.725,0,0,0,2.569e4,7974.069,24.786,0.095,NaN,232.391,NaN,0.019,1.611e6,2669.543,0.394,0.64,0.831,0.471,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.786e-4,15.558,190.094,90,0,1.944,14.999,1013.224,340.388,0.01,0.004
0.12,0.285,7.025,94.456,7.025,94.456,0,0,0,0,0,0,28.61,-80.6,9.792,15.729,0,0,0,2.568e4,7960.85,24.774,0.095,NaN,232.343,NaN,0.021,1.842e6,2677.233,0.504,0.628,0.813,0.459,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.995e-4,15.558,190.094,90,0,1.979,14.998,1013.217,340.388,0.01,0.004
0.13,0.36,7.973,94.804,7.973,94.804,0,0,0,0,0,0,28.61,-80.6,9.792,14.173,0,0,0,2.566e4,7947.631,24.762,0.095,NaN,232.295,NaN,0.024,2.076e6,2684.924,0.622,0.618,0.79,0.449,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,2.013,14.998,1013.208,340.387,0.01,0.004
0.14,0.444,8.924,95.153,8.924,95.153,0,0,0,0,0,0,28.61,-80.6,9.792,12.927,0,0,0,2.565e4,7934.412,24.75,0.094,NaN,232.247,NaN,0.027,2.311e6,2692.614,0.747,0.609,0.765,0.441,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,2.048,14.997,1013.198,340.387,0.01,0.005
0.15,0.539,9.879,95.502,9.879,95.502,0,0,0,0,0,0,28.61,-80.6,9.792,11.908,0,0,0,2.564e4,7921.192,24.738,0.094,NaN,232.199,NaN,0.03,2.548e6,2700.305,0.882,0.601,0.743,0.433,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,2.083,14.996,1013.187,340.387,0.01,0.005
0.16,0.642,10.837,95.851,10.837,95.851,0,0,0,0,0,0,28.61,-80.6,9.792,10.811,0,0,0,2.562e4,7907.973,24.725,0.094,NaN,232.151,NaN,0.032,2.785e6,2707.995,1.019,0.594,0.719,0.426,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,15.558,190.094,90,0,2.07,14.996,1013.175,340.386,0.01,0.005
0.169,0.746,11.725,96.185,11.725,96.185,0,0,0,0,0,0,28.61,-80.6,9.792,9.95,0,0,0,2.561e4,7895.775,24.714,0.094,NaN,232.106,NaN,0.035,3.005e6,2715.388,1.154,0.589,0.699,0.42,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,2.057,14.995,1013.162,340.386,0.009,0.006
0.178,0.85,12.548,96.493,12.548,96.493,0,0,0,0,0,0,28.61,-80.6,9.792,9.257,0,0,0,2.56e4,7884.501,24.704,0.094,NaN,232.065,NaN,0.037,3.209e6,2722.216,1.287,0.584,0.684,0.416,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,2.045,14.994,1013.15,340.386,0.009,0.006
0.186,0.953,13.319,96.779,13.319,96.779,0,0,0,0,0,0,28.61,-80.6,9.792,8.684,0,0,0,2.559e4,7873.965,24.694,0.094,NaN,232.026,NaN,0.04,3.401e6,2728.56,1.427,0.584,0.675,0.416,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,2.034,14.994,1013.138,340.385,0.008,0.006
0.193,1.055,14.047,97.048,14.047,97.048,0,0,0,0,0,0,28.61,-80.6,9.792,8.199,0,0,0,2.558e4,7864.04,24.685,0.094,NaN,231.99,NaN,0.042,3.582e6,2734.512,1.565,0.584,0.668,0.416,0.117,0.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.002,15.558,190.094,90,0,2.024,14.993,1013.126,340.385,0.008,0.006
0.204,1.22,15.144,97.384,15.144,97.384,-1.268e-5,0,1.268e-5,-180,0.002,0.205,28.61,-80.6,9.792,7.527,0,0.022,-4.395e-6,2.556e4,7849.152,24.671,0.094,249.397,231.935,1.122,0.045,3.855e6,2741.729,1.785,0.585,0.657,0.416,0.117,0.051,1.909,2.143,4.951e-4,0,0,0,0,8.706e-6,0.002,15.558,190.094,90,0.004,2.003,14.992,1013.107,340.384,0.011,0.007
0.221,1.49,16.796,97.887,16.796,97.888,-8.054e-5,0,8.054e-5,-180,0.006,0.213,28.61,-80.6,9.792,6.637,0,0.061,-5.289e-6,2.554e4,7826.82,24.65,0.094,251.152,231.853,1.24,0.05,4.268e6,2752.556,2.143,0.585,0.644,0.416,0.117,0.051,1.628,2.019,-1.029e-4,0,0,0,0,5.215e-5,0.002,15.558,190.094,89.999,0.005,1.96,14.99,1013.075,340.383,0.017,0.007
0.247,1.947,19.294,98.642,19.294,98.642,-2.967e-4,0,2.967e-4,-180,0.011,0.221,28.61,-80.6,9.792,5.577,0,0.128,-1.993e-5,2.551e4,7793.322,24.619,0.094,253.42,231.73,1.394,0.057,4.893e6,2768.796,2.751,0.585,0.629,0.416,0.117,0.051,1.312,1.829,-1.653e-4,0,0,0,0,1.771e-4,0.002,15.558,190.094,89.997,0.005,1.896,14.987,1013.022,340.381,0.025,0.007
0.285,2.752,23.069,99.427,23.069,99.428,-8.938e-4,0,8.938e-4,-180,0.02,0.253,28.61,-80.6,9.792,4.832,0,0.255,-8.719e-6,2.546e4,7741.607,24.571,0.094,255.143,231.539,1.517,0.068,5.843e6,2784.303,3.864,0.585,0.619,0.416,0.118,0.051,1.103,1.673,1.214e-4,0,0,0,0,4.889e-4,0.003,15.558,190.094,89.99,0.003,1.975,14.982,1012.927,340.378,0.038,0.007
0.335,4.03,28.067,100.073,28.067,100.073,-0.002,0,0.002,-180,0.034,0.272,28.61,-80.6,9.792,4.031,0,0.474,-5.401e-5,2.539e4,7673.456,24.507,0.094,257.131,231.287,1.661,0.083,7.1e6,2794.997,5.62,0.585,0.61,0.416,0.118,0.052,0.889,1.477,-4.46e-4,0,0,0,0,0.001,0.004,15.558,190.094,89.972,0.003,2.026,14.974,1012.777,340.373,0.05,0.008
