# Time [s],# Altitude [m],# Height [m AGL],# Velocity [m/s],# Acceleration [m/s^2],# Commanded Angle [deg],# Flight Phase [int enum],# Approximate Drag Force [N],# Expected Drag Force [N],# Target Velocity [m/s],# Velocity Error [m/s
9.3820,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.4170,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.4520,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.4870,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.5220,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.5630,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.5990,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.6340,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.6690,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.7040,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.7390,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.7740,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.8090,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.8480,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.8830,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.9180,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.9530,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
9.9880,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.0230,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.0580,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.0930,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.1340,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.1690,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.2040,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.2390,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.2740,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.3090,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.3440,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.3790,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.4140,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.4550,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.4900,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.5250,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.5600,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.5950,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.6300,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.6650,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.7010,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.7400,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.7750,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.8100,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.8450,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.8800,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.9150,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.9500,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
10.9850,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.0260,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.0610,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.0960,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.1310,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.1660,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.2010,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.2360,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.2710,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.3110,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.3460,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.3810,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.4160,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.4510,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.4860,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.5210,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.5560,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.5970,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.6320,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.6670,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.7020,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.7370,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.7720,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.8080,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.8430,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.8820,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.9170,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.9520,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
11.9870,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.0220,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.0570,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.0920,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.1270,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.1680,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.2030,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.2380,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.2730,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.3080,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.3430,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.3780,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.4130,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.4540,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.4890,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.5240,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.5590,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.5940,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.6290,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.6640,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.6990,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.7340,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.7750,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.8100,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.8450,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.8800,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.9160,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.9510,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
12.9860,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.0210,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.0600,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.0950,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.1300,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.1650,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.2000,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.2350,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.2700,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.3050,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.3440,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.3790,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.4140,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.4490,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.4840,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.5190,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.5540,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.5890,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.6300,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.6650,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.7000,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.7350,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.7700,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.8050,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.8400,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.8750,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.9160,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.9510,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
13.9860,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.0220,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.0570,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.0920,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.1270,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.1620,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.2010,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.2360,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.2710,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.3060,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.3410,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.3760,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.4110,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.4460,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.4870,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.5220,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.5570,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.5920,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.6270,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.6620,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.6970,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.7320,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.7730,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.8080,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.8430,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.8780,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.9130,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.9480,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
14.9830,1380.00,0.00,0.00,0.00,8.86,1,-226.41,-0.00,0.00,0.00
15.0250,1380.00,0.00,0.08,2.33,8.86,1,-280.31,0.00,0.00,0.00
15.0690,1380.12,0.12,2.81,63.45,8.86,1,-1692.31,0.04,0.00,0.00
15.1580,1380.85,0.85,8.46,65.64,8.86,2,-2109.60,0.41,0.00,0.00
15.2050,1381.40,1.40,11.60,66.82,8.86,2,-2139.10,0.76,0.00,0.00
15.2520,1382.09,2.09,14.79,68.00,8.86,2,-2168.33,1.24,0.00,0.00
15.2990,1382.94,2.94,18.04,69.18,8.86,2,-2197.11,1.85,0.00,0.00
15.3460,1383.94,3.94,21.35,70.34,8.86,2,-2225.39,2.59,0.00,0.00
15.3930,1385.10,5.10,24.71,71.50,8.86,2,-2253.16,3.47,0.00,0.00
15.4400,1386.43,6.43,28.12,72.64,8.86,2,-2280.42,4.50,0.00,0.00
15.4870,1387.91,7.91,31.59,73.76,8.86,2,-2307.17,5.67,0.00,0.00
15.5390,1389.72,9.72,35.41,74.98,8.86,2,-2335.72,7.13,0.00,0.00
15.5880,1391.59,11.59,39.07,76.09,8.86,2,-2361.73,8.68,0.00,0.00
15.6370,1393.69,13.69,42.85,77.11,8.86,2,-2384.82,10.45,0.00,0.00
15.6860,1395.98,15.98,46.67,78.06,8.86,2,-2405.88,12.41,0.00,0.00
15.7350,1398.46,18.46,50.54,79.04,8.86,2,-2427.39,14.56,0.00,0.00
15.7840,1401.12,21.12,54.47,80.12,8.86,2,-2451.75,16.93,0.00,0.00
15.8330,1403.99,23.99,58.45,81.19,8.86,2,-2475.38,19.51,0.00,0.00
15.8860,1407.32,27.32,62.81,82.33,8.86,2,-2500.28,22.56,0.00,0.00
15.9350,1410.59,30.59,66.89,83.34,8.86,2,-2522.06,25.61,0.00,0.00
15.9840,1414.08,34.08,71.03,84.34,8.86,2,-2543.24,28.91,0.00,0.00
16.0330,1417.76,37.76,75.21,85.31,8.86,2,-2563.56,32.46,0.00,0.00
16.0820,1421.65,41.65,79.43,86.26,8.86,2,-2583.01,36.26,0.00,0.00
16.1310,1425.75,45.75,83.71,87.18,8.86,2,-2601.57,40.33,0.00,0.00
16.1810,1430.16,50.16,88.11,88.10,8.86,2,-2619.66,44.77,0.00,0.00
16.2300,1434.69,54.69,92.47,88.96,8.86,2,-2636.27,49.39,0.00,0.00
16.2830,1439.84,59.84,97.23,89.87,8.86,2,-2653.64,54.72,0.00,0.00
16.3320,1444.83,64.83,101.68,90.65,8.86,2,-2667.95,59.96,0.00,0.00
16.3810,1450.03,70.03,106.15,91.42,8.86,2,-2681.68,65.50,0.00,0.00
16.4300,1455.45,75.45,110.67,92.15,8.86,2,-2694.39,71.35,0.00,0.00
16.4800,1461.22,81.22,115.31,92.87,8.86,2,-2706.43,77.65,0.00,0.00
