# Time [s],# Altitude [m],# Height [m AGL],# Velocity [m/s],# Acceleration [m/s^2],# Commanded Angle [deg],# Flight Phase [int enum],# Approximate Drag Force [N],# Expected Drag Force [N],# Target Velocity [m/s],# Velocity Error [m/s],# Roll [deg],# Relative Roll [deg],# Pitch (x) [deg],# Pitch (y) [deg],# Pitch (from vertical) [deg]
5.0400,1789.28,409.28,81.78,-0.42,4.32,1,-216.68,37.10,0.00,0.00,0.00,0.00,0.25,-0.81,90.00
5.1170,66.14,-1313.86,-7583.72,-0.43,4.32,1,-216.47,500694.84,0.00,0.00,0.00,0.00,0.25,-0.81,90.00
5.1980,66.28,-1313.72,1.47,-0.44,4.32,1,-216.24,0.01,0.00,0.00,0.00,0.00,0.25,-0.81,90.00
5.2760,66.39,-1313.61,1.24,-0.44,4.32,1,-216.24,0.01,0.00,0.00,0.00,0.00,0.25,-0.81,90.00
5.3530,66.47,-1313.53,0.79,-0.44,4.32,1,-216.24,0.00,0.00,0.00,0.00,0.00,0.25,-0.81,90.00
5.4300,66.54,-1313.46,0.81,-0.41,4.32,1,-216.94,0.00,0.00,0.00,0.00,0.00,0.25,-0.81,90.00
5.5080,66.63,-1313.37,0.95,-0.44,4.32,1,-216.24,0.01,0.00,0.00,0.00,0.00,0.25,-0.81,90.00
5.5850,66.68,-1313.32,0.51,-0.44,4.32,1,-216.24,0.00,0.00,0.00,0.00,0.00,0.25,-0.81,90.00
5.6670,66.73,-1313.27,0.55,-0.43,4.32,1,-216.47,0.00,0.00,0.00,0.00,0.00,0.25,-0.81,90.00
5.7430,66.75,-1313.25,0.24,-0.46,4.32,1,-215.78,0.00,0.00,0.00,0.00,0.00,0.25,-0.81,90.00
5.8210,66.79,-1313.21,0.42,-0.43,4.32,1,-216.47,0.00,0.00,0.00,0.00,0.00,0.25,-0.81,90.00
5.8970,66.79,-1313.21,0.03,-0.44,4.32,1,-216.24,0.00,0.00,0.00,0.00,0.00,0.25,-0.81,90.00
5.9730,66.80,-1313.20,0.12,-0.42,4.32,1,-216.71,0.00,0.00,0.00,0.00,0.00,0.25,-0.81,90.00
6.0490,66.83,-1313.17,0.29,-0.51,4.32,1,-214.63,0.00,0.00,0.00,0.00,0.00,0.25,-0.81,90.00
6.1310,66.86,-1313.14,0.26,-0.47,4.32,1,-215.55,0.00,0.00,0.00,0.00,0.00,0.25,-0.81,90.00
