# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,0,0,0,0,90.0116696,0,7976,2194,2.135,0.022,9.792,NaN,114.8,NaN,0,0,0,1.515,1.236,0.159,0.12,1.515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013,0.001225,340.389,0,0,10.6,90,0.004,0.001,0
0.004,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,0,0,0,0,90.0116696,0,7976,2194,2.135,0.022,9.792,NaN,114.8,NaN,10.664,0.137,0,1.515,1.236,0.159,0.12,1.515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013,0.001225,340.389,0,0,10.6,90,0.007,0.002,0
0.011,0.001,0.001,0.503,0.503,149.357,149.357,0,0,0,269.9777131,1.473e-7,6.44e-5,28.61,-80.6,1.6776204e-5,0,0,0,90.0116696,0,7973,2192,2.134,0.022,9.792,NaN,114.8,NaN,1268.961,16.253,0.001,0.981,0.702,0.159,0.12,0.981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013,0.001225,340.389,0.001,6.011e4,10.6,90,0.01,0.003,6.44e-5
0.021,0.014,0.014,2.009,2.009,151.797,151.797,-8.15E-09,0,8.151e-9,269.9777131,1.753e-6,2.572e-4,28.61,-80.6,4.9996297e-5,0,0,0,90.0116696,0,7967,2185,2.134,0.022,9.792,NaN,114.8,NaN,1287.347,16.502,0.017,0.775,0.495,0.159,0.12,0.775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013,0.001225,340.389,0.006,2.401e5,10.6,90,0.01,0.004,2.572e-4
0.031,0.041,0.041,3.539,3.539,154.239,154.239,-4.18E-08,0,4.179e-8,269.9777131,5.303e-6,0,28.61,-80.6,8.5829078e-5,0,0,0,90.0116696,0,7960,2178,2.133,0.022,9.792,NaN,114.8,NaN,1305.732,16.752,0.048,0.716,0.436,0.16,0.12,0.716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,15,1013,0.001225,340.389,0.01,4.23e5,10.6,90,0.009,0.005,4.531e-4
0.04,0.08,0.08,4.937,4.937,156.439,156.439,-8.95E-08,0,8.952e-8,269.9777131,5.303e-6,0,28.61,-80.6,6.1535667e-5,0,0,0,90.0116696,0,7954,2172,2.132,0.022,9.792,NaN,114.8,NaN,1322.279,16.977,0.09,0.687,0.407,0.16,0.12,0.687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.999,1013,0.001225,340.389,0.015,5.9e5,10.6,90,0.01,0.005,6.321e-4
0.05,0.137,0.137,6.498,6.498,155.79,155.79,-1.43E-07,0,1.425e-7,269.9777131,5.303e-6,0,28.61,-80.6,4.6753356e-5,0,0,0,90.0116696,0,7947,2166,2.131,0.022,9.792,NaN,114.7,NaN,1316.087,16.912,0.151,0.665,0.384,0.161,0.12,0.665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.999,1013,0.001225,340.388,0.019,7.766e5,10.6,90,0.01,0.006,8.32e-4
0.06,0.209,0.209,8.053,8.053,155.139,155.139,-1.96E-07,0,1.956e-7,269.9777131,5.303e-6,0,28.61,-80.6,3.7729271e-5,0,0,0,90.0116696,0,7941,2159,2.13,0.022,9.792,NaN,114.7,NaN,1309.896,16.846,0.227,0.649,0.368,0.161,0.12,0.649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.999,1013,0.001225,340.388,0.024,9.624e5,10.6,90,0.01,0.007,0.001
0.07,0.298,0.298,9.601,9.601,154.484,154.484,-2.49E-07,0,2.486e-7,269.9777131,5.303e-6,0,28.61,-80.6,3.1633e-5,0,0,0,90.0116696,0,7934,2152,2.13,0.022,9.792,NaN,114.7,NaN,1303.704,16.78,0.316,0.637,0.355,0.161,0.12,0.637,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.998,1013,0.001225,340.388,0.028,1.147e6,10.6,90,0.01,0.007,0.001
0.08,0.401,0.401,11.142,11.142,153.827,153.827,-3.02E-07,0,3.016e-7,269.9777131,5.303e-6,0,28.61,-80.6,2.7267061e-5,0,0,0,90.0116696,0,7928,2146,2.129,0.022,9.792,NaN,114.7,NaN,1297.512,16.715,0.419,0.627,0.345,0.162,0.12,0.627,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,14.997,1013,0.001225,340.387,0.033,1.332e6,10.6,90,0.01,0.008,0.001
