# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
0,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90.0116696,0,0,0,90.0116696,0,9637,3856,2.364,0.024,9.792,NaN,121.6,NaN,0,0,0,0.778,0.499,0.159,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.951,90.0116696,15,1013,0.001225,340.389,0.006,2.332e5,10.6,90,0.01,0.001,0
0.01,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90.0116696,0,0,0,90.0116696,0,9637,3855,2.364,0.024,9.792,NaN,121.6,NaN,24.069,0.255,0,0.776,0.497,0.159,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.981,90.0116696,15,1013,0.001225,340.389,0.006,2.368e5,10.6,90,0.01,0.002,0
0.02,0,0,0,0,0,0,0,0,0,0,0,0,28.61,-80.6,90.0116696,0,0,0,90.0116696,0,9637,3855,2.364,0.024,9.792,NaN,121.6,NaN,48.137,0.51,0,0.775,0.495,0.159,0.12,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.011,90.0116696,15,1013,0.001225,340.389,0.006,2.403e5,10.6,90,0.01,0.003,0
0.03,0.002,0.002,0.494,0.494,102.093,102.093,-5.072e-7,0,5.072e-7,269.9777131,1.283e-4,0.016,28.61,-80.6,76.3752741,0,0,0,90.0116696,0,9632,3851,2.364,0.024,9.792,NaN,121.5,NaN,1077.735,11.426,5.307e-4,0.77,0.49,0.159,0.12,0.022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.041,90.0116696,15,1013,0.001225,340.389,0.006,2.509e5,10.6,90,0.01,0.003,6.33e-5
0.04,0.013,0.013,2.05,2.05,209.083,209.083,-2.72e-6,0,2.72e-6,269.9777131,3.353e-4,0.029,28.61,-80.6,45.2636658,0,0,0,90.0116696,0,9628,3846,2.363,0.024,9.792,NaN,121.5,NaN,2107.333,22.352,0.022,0.735,0.455,0.16,0.12,0.475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.07,90.0116696,15,1013,0.001225,340.389,0.009,3.482e5,10.6,90,0.01,0.003,2.625e-4
0.05,0.045,0.045,4.205,4.205,221.89,221.89,-9.845e-6,0,9.845e-6,269.9777131,0.001,0,28.61,-80.6,26.5279459,0,0,0,90.0116696,0,9619,3837,2.362,0.024,9.792,NaN,121.5,NaN,2228.567,23.661,0.098,0.691,0.411,0.16,0.12,0.822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1,90.0116696,15,1013,0.001225,340.389,0.014,5.617e5,10.6,90,0.005,0.004,5.384e-4
0.055,0.068,0.068,5.331,5.331,228.301,228.301,-1.606e-5,0,1.606e-5,269.9777131,0.001,0,28.61,-80.6,21.31403,0,0,0,90.0116696,0,9614,3832,2.362,0.024,9.792,NaN,121.5,NaN,2289.184,24.316,0.152,0.675,0.394,0.16,0.12,0.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.079,90.0116696,15,1013,0.001225,340.389,0.017,6.838e5,10.6,90,0.007,0.004,6.825e-4
0.063,0.115,0.115,7.021,7.021,222.435,222.435,-2.539e-5,0,2.539e-5,269.9777131,0.001,0,28.61,-80.6,16.2147056,0,0,0,90.0116696,0,9607,3825,2.361,0.024,9.792,NaN,121.5,NaN,2231.242,23.718,0.245,0.656,0.375,0.161,0.12,0.851,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.046,90.0116696,14.999,1013,0.001225,340.388,0.021,8.74e5,10.6,90,0.01,0.005,8.989e-4
0.073,0.201,0.201,9.313,9.313,214.206,214.206,-3.845e-5,0,3.845e-5,269.9777131,0.001,0,28.61,-80.6,12.0894095,0,0,0,90.0116696,0,9597,3815,2.36,0.024,9.792,NaN,121.4,NaN,2150.122,22.879,0.386,0.637,0.356,0.161,0.12,0.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.001,90.0116696,14.999,1013,0.001225,340.388,0.028,1.138e6,10.6,90,0.01,0.005,0.001
0.083,0.304,0.304,11.453,11.453,213.795,213.795,-5.089e-5,0,5.089e-5,269.9777131,0.001,0,28.61,-80.6,9.6829867,0,0,0,90.0116696,0,9588,3806,2.359,0.024,9.792,NaN,121.4,NaN,2144.322,22.839,0.536,0.624,0.342,0.162,0.12,0.738,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.958,90.0116696,14.998,1013,0.001225,340.388,0.034,1.389e6,10.6,90,0.009,0.005,0.001
