# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
0,0,1380,0,0,0,0,0,0,0,0,0,0,43.8,-120.63,0,0,0,0,90,0,7975.722264,2194,2.1347745,0.0219707,9.8008672,NaN,114.844678,NaN,0,0,0,1.5148519,1.2358995,0.1589525,0.12,1.5148519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,6.03,858.3245703,0.001071,334.95308,0,0,10.5791,87.8996865,0.004,0.0106457,0
0.004,0,1380,0,0,0,0,0,0,0,0,0,0,43.8,-120.63,0,0,0,0,90,0,7975.711213,2193.98895,2.1347732,0.0219707,9.8008672,NaN,114.8446362,NaN,10.664,0.1364226,0,1.5148519,1.2358995,0.1589525,0.12,1.5148519,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,6.03,858.3245703,0.001071,334.95308,0,0,10.5791,87.8996865,0.007,0.0281092,0
0.011,0.0011504,1380.00115,0.5029174,0.5029174,149.3484647,149.3484647,0,0,0,270,1.21E-07,5.29E-05,43.8,-120.63,1.38E-05,0,0,0,90,0,7973.390723,2191.66846,2.1344831,0.0219699,9.8008672,NaN,114.8358481,NaN,1268.961,16.2383062,0.0011939,1.0027746,0.7237009,0.1590734,0.1200003,1.0027746,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,6.0299925,858.324448,0.001071,334.9530755,0.0015015,5.39E+04,10.5791,87.8996865,0.01,0.0383865,5.29E-05
0.021,0.0136876,1380.013688,2.008601,2.008601,151.788641,151.788641,-6.70E-09,0,6.70E-09,269.9999797,1.44E-06,2.11E-04,43.8,-120.63,4.11E-05,0,0,0,90,0,7966.677879,2184.955615,2.1336434,0.0219674,9.8008671,NaN,114.8103968,NaN,1287.346517,16.4874581,0.0149576,0.7876109,0.508169,0.1594373,0.1200047,0.7876109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,6.029911,858.3231144,0.001071,334.9530261,0.0059967,2.15E+05,10.5791,87.8996865,0.01,0.0511051,2.11E-04
0.031,0.0414038,1380.041404,3.5386981,3.5386981,154.2311593,154.2311593,-3.44E-08,0,3.44E-08,269.9999656,4.36E-06,0,43.8,-120.63,7.06E-05,0,0,0,90,0,7959.965035,2178.242771,2.1328026,0.021965,9.800867,NaN,114.7849026,NaN,1305.732035,16.7370303,0.0428406,0.7267889,0.4469646,0.1598098,0.1200145,0.7267889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,6.0297309,858.3201662,0.001071,334.9529169,0.0105648,3.79E+05,10.5791,87.8996865,0.009,0.0634492,3.72E-04
0.04,0.0795281,1380.079528,4.9366784,4.9366784,156.431451,156.431451,-7.36E-08,0,7.36E-08,269.9999596,4.36E-06,0,43.8,-120.63,5.06E-05,0,0,0,90,0,7953.923475,2172.201211,2.132045,0.0219628,9.8008669,NaN,114.761921,NaN,1322.279,16.9620055,0.0798646,0.6961867,0.416006,0.1601525,0.1200282,0.6961867,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,6.0294831,858.3161108,0.001071,334.9527667,0.0147384,5.29E+05,10.5791,87.8996865,0.01,0.0803965,5.20E-04
0.05,0.1367057,1380.136706,6.4977562,6.4977562,155.7836624,155.7836624,-1.17E-07,0,1.17E-07,269.9999577,4.36E-06,0,43.8,-120.63,3.84E-05,0,0,0,90,0,7947.321129,2165.598865,2.1312161,0.0219604,9.8008667,NaN,114.7367662,NaN,1316.087258,16.8966045,0.133831,0.6734002,0.3928134,0.1605379,0.1200489,0.6734002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,6.0291114,858.3100288,0.001071,334.9525415,0.019399,6.96E+05,10.5791,87.8996865,0.01,0.0890384,6.84E-04
0.06,0.2094616,1380.209462,8.0523427,8.0523427,155.1331932,155.1331932,-1.61E-07,0,1.61E-07,269.9999568,4.36E-06,0,43.8,-120.63,3.10E-05,0,0,0,90,0,7940.718784,2158.99652,2.1303862,0.0219579,9.8008665,NaN,114.7115696,NaN,1309.895516,16.8310948,0.2005304,0.6570259,0.3760262,0.1609245,0.1200751,0.6570259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,6.0286385,858.3022896,0.001071,334.9522549,0.0240403,8.63E+05,10.5791,87.8996865,0.01,0.1030245,8.48E-04
0.07,0.2977308,1380.297731,9.6004113,9.6004113,154.4800827,154.4800827,-2.04E-07,0,2.04E-07,269.9999563,4.36E-06,0,43.8,-120.63,2.60E-05,0,0,0,90,0,7934.116439,2152.394175,2.1295553,0.0219555,9.8008662,NaN,114.6863311,NaN,1303.703774,16.7654761,0.279597,0.6444709,0.3630517,0.1613124,0.1201068,0.6444709,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,6.0280647,858.2929003,0.001071,334.9519072,0.0286621,1.03E+06,10.5791,87.8996865,0.01,0.1216452,0.0010106
0.08,0.401448,1380.401448,11.1419356,11.1419356,153.8243635,153.8243635,-2.48E-07,0,2.48E-07,269.999956,4.36E-06,0,43.8,-120.63,2.24E-05,0,0,0,90,0,7927.514093,2145.791829,2.1287234,0.0219531,9.8008659,NaN,114.6610505,NaN,1297.512032,16.6997482,0.3707203,0.6344248,0.3525796,0.1617014,0.1201438,0.6344248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,6.0273906,858.2818678,0.001071,334.9514987,0.0332643,1.19E+06,10.5791,87.8996865,0.01,0.135584,0.0011728
