# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
0,0,1380,0,0,0,0,0,0,0,0,0,0,43.8,-120.63,90,0,0,0,90,0,9637.2372638,3855.515,2.3640809,0.0238819,9.8008672,NaN,121.5589397,NaN,0,0,0,0.8083736,0.5290092,0.1593612,0.1200033,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.694548,90,6.03,858.3245703,0.001071,334.95308,0.0050591,1.8156077e5,10.5791,87.8996865,0.01,0.0018738,0
0.01,0,1380,0,0,0,0,0,0,0,0,0,0,43.8,-120.63,90,0,0,0,90,0,9637.1356029,3855.4133391,2.3640706,0.0238818,9.8008672,NaN,121.5586523,NaN,24.0685,0.2548218,0,0.8069782,0.527609,0.1593657,0.1200034,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7134729,90,6.03,858.3245703,0.001071,334.95308,0.0051156,1.8358847e5,10.5791,87.8996865,0.01,0.0033854,0
0.02,0,1380,0,0,0,0,0,0,0,0,0,0,43.8,-120.63,90,0,0,0,90,0,9637.033942,3855.3116782,2.3640604,0.0238818,9.8008672,NaN,121.5583648,NaN,48.137,0.5096489,0,0.8056035,0.5262297,0.1593703,0.1200035,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7323978,90,6.03,858.3245703,0.001071,334.95308,0.0051721,1.8561616e5,10.5791,87.8996865,0.01,0.0041442,0
0.03,0.0016209,1380.0016209,0.4943193,0.4943193,102.0845718,102.0845724,-3.2479674e-7,0,3.2479674e-7,269.9999857,8.2373422e-5,0.0104706,43.8,-120.63,74.2373196,0,0,0,90,0,9632.4817873,3850.7595234,2.3636016,0.0238786,9.8008672,NaN,121.5454856,NaN,1077.735,11.4158772,5.4673057e-4,0.7995193,0.520124,0.1593915,0.1200038,0.0350773,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7513228,90,6.0299895,858.3243979,0.001071,334.9530736,0.0054326,1.949667e5,10.5791,87.8996865,0.01,0.0049066,5.2033619e-5
0.04,0.0134511,1380.0134511,2.0500319,2.0500319,209.0740717,209.0740791,-1.7723145e-6,0,1.7723145e-6,269.999967,2.8227649e-4,0.0555559,43.8,-120.63,40.8068119,0,0,0,90,0,9627.9296326,3846.2073687,2.3631424,0.0238754,9.8008671,NaN,121.5325943,NaN,2107.333,22.3324186,0.020491,0.7540163,0.4744005,0.1596073,0.1200085,0.5934392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7702477,90,6.0299126,858.3231395,0.001071,334.953027,0.0080859,2.9018825e5,10.5791,87.8996865,0.01,0.005698,2.1579286e-4
0.05,0.0446185,1380.0446185,4.2047977,4.2047978,221.8825536,221.8825536,-7.8242542e-6,0,7.8242542e-6,269.9999613,9.8238091e-4,0,43.8,-120.63,23.0387781,0,0,0,90,0,9618.6445924,3836.9223286,2.362205,0.0238688,9.800867,NaN,121.506262,NaN,2228.567,23.6399918,0.08652,0.7029912,0.4229049,0.1600622,0.1200242,0.880376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7891726,90,6.02971,858.3198242,0.001071,334.9529042,0.0136414,4.8956511e5,10.5791,87.8996865,0.005,0.0064551,4.4261036e-4
0.055,0.0684427,1380.0684427,5.3302386,5.3302387,228.2947355,228.2947355,-1.2736159e-5,0,1.2736159e-5,269.9999585,9.8238091e-4,0,43.8,-120.63,18.7552986,0,0,0,90,0,9614.0020723,3832.2798085,2.3617357,0.0238656,9.8008669,NaN,121.4930768,NaN,2289.184,24.2947255,0.1323855,0.6850369,0.4046771,0.1603231,0.1200367,0.8875568,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8109043,90,6.0295551,858.31729,0.001071,334.9528104,0.0168058,6.0312601e5,10.5791,87.8996865,0.0075,0.007173,5.6107784e-4
0.0625,0.1147853,1380.1147853,7.0204601,7.0204602,222.4294332,222.4294332,-2.0104015e-5,0,2.0104015e-5,269.9999568,9.8238091e-4,0,43.8,-120.63,14.7056217,0,0,0,90,0,9606.9705173,3825.2482535,2.3610243,0.0238606,9.8008668,NaN,121.4730822,NaN,2231.2415,23.6971236,0.211856,0.6648023,0.3840146,0.1607267,0.120061,0.8543251,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8435019,90,6.0292539,858.3123605,0.001071,334.9526279,0.0216694,7.7766777e5,10.5791,87.8996865,0.0105,0.0081163,7.3899591e-4
0.073,0.2006105,1380.2006105,9.3127926,9.3127927,214.202231,214.202231,-3.0419015e-5,0,3.0419015e-5,269.9999558,9.8238091e-4,0,43.8,-120.63,11.4612804,0,0,0,90,0,9597.1263404,3815.4040766,2.3600272,0.0238537,9.8008665,NaN,121.4450405,NaN,2150.122,22.8590099,0.335973,0.6451831,0.3637908,0.1612877,0.1201046,0.7904883,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.8891384,90,6.028696,858.3032311,0.001071,334.9522898,0.028369,1.0180957e6,10.5791,87.8996865,0.01,0.008877,9.802941e-4
0.083,0.3044417,1380.3044417,11.4527707,11.4527708,213.7929001,213.7929001,-4.0242824e-5,0,4.0242824e-5,269.9999554,9.8238091e-4,0,43.8,-120.63,9.5733851,0,0,0,90,0,9588.1462809,3806.4240171,2.3591162,0.0238474,9.8008662,NaN,121.4194101,NaN,2144.3223614,22.8187033,0.4726232,0.6317152,0.3497377,0.1618212,0.1201563,0.7443261,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9326018,90,6.0280211,858.2921865,0.001071,334.9518808,0.0346752,1.244396e6,10.5791,87.8996865,0.0087315,0.0095638,0.0012056
0.0917315,0.4125869,1380.4125869,13.3179365,13.3179365,213.4329985,213.4329985,-4.8820494e-5,0,4.8820494e-5,269.9999551,9.8238091e-4,0,43.8,-120.63,8.4124106,0,0,0,90,0,9580.3053316,3798.5830677,2.3583197,0.0238419,9.8008659,NaN,121.3969916,NaN,2139.2584004,22.7834479,0.6098197,0.6228245,0.3403222,0.1622923,0.12021,0.7148041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9705519,90,6.0273182,858.2806829,0.001071,334.9514548,0.0401932,1.4424089e6,10.5791,87.8996865,0.0075087,0.0102982,0.0014019
0.0992402,0.5186006,1380.5186006,14.9193657,14.9193658,213.1213643,213.1213643,-5.6196869e-5,0,5.6196869e-5,269.999955,9.8238091e-4,0,43.8,-120.63,7.6435242,0,0,0,90,0,9573.5625006,3791.8402367,2.357634,0.0238371,9.8008656,NaN,121.3776835,NaN,2134.9036427,22.753084,0.7437433,0.6185152,0.3355518,0.1627008,0.1202626,0.6973173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0031871,90,6.0266291,858.2694061,0.001071,334.9510372,0.0449412,1.6127833e6,10.5791,87.8996865,0.0067027,0.0109774,0.0015705
0.1059429,0.6233859,1380.6233859,16.3469176,16.3469176,212.8417835,212.8417835,-6.2781471e-5,0,6.2781471e-5,269.9999549,9.8238091e-4,0,43.8,-120.63,7.0294801,0,0,0,90,0,9567.5434381,3785.8211742,2.3570214,0.0238329,9.8008652,NaN,121.3604248,NaN,2131.0163203,22.7259431,0.8731084,0.6151949,0.331813,0.1630675,0.1203143,0.6837662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0166697,90,6.025948,858.2582599,0.001071,334.9506245,0.0491736,1.7646498e6,10.5791,87.8996865,0.0061174,0.0117183,0.0017207
0.1120602,0.7273668,1380.7273668,17.648164,17.648164,212.5853505,212.5853505,-6.879105e-5,0,6.879105e-5,269.9999548,9.8238091e-4,0,43.8,-120.63,6.5493902,0,0,0,90,0,9562.0500113,3780.3277475,2.3564617,0.023829,9.8008649,NaN,121.3446544,NaN,2127.4684719,22.7011427,1.0003596,0.6126803,0.3287431,0.1635715,0.1203657,0.6735027,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0271488,90,6.0252721,858.2471993,0.001071,334.9502149,0.053035,1.9032035e6,10.5791,87.8996865,0.0056663,0.0123918,0.0018577
0.1177266,0.8307783,1380.8307783,18.8520633,18.8520633,212.3467379,212.3467379,-7.4357527e-5,0,7.4357527e-5,269.9999547,9.8238091e-4,0,43.8,-120.63,6.1636018,0,0,0,90,0,9556.9616295,3775.2393657,2.3559428,0.0238255,9.8008646,NaN,121.3300306,NaN,2124.1822158,22.6781455,1.1261032,0.6106426,0.3261437,0.1640822,0.1204166,0.6654244,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0368552,90,6.0245999,858.2361993,0.0010709,334.9498076,0.0566105,2.0314921e6,10.5791,87.8996865,0.0053045,0.0131408,0.0019844
0.123031,0.9337646,1380.9337646,19.9778534,19.9778534,212.1224184,212.1224184,-7.9568526e-5,0,7.9568526e-5,269.9999547,9.8238091e-4,0,43.8,-120.63,5.8445157,0,0,0,90,0,9552.1981937,3770.4759298,2.3554568,0.0238221,9.8008643,NaN,121.3163265,NaN,2121.1058213,22.6565947,1.250642,0.6089222,0.3238933,0.1645616,0.1204673,0.6588506,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0459418,90,6.0239305,858.2252445,0.0010709,334.9494019,0.059956,2.151528e6,10.5791,87.8996865,0.0050055,0.0139801,0.0021029
0.1280366,1.0364212,1381.0364212,21.0391097,21.0391097,211.9098999,211.910197,-8.4485876e-5,0,8.4485876e-5,269.9999546,9.8238091e-4,0.3548407,43.8,-120.63,5.5747279,0,0,0,90,0,9547.7031864,3765.9809226,2.3549977,0.0238189,9.800864,135.2852093,121.3033822,1.3216462,2118.2027874,22.6362387,1.3742214,0.6074447,0.3219119,0.165015,0.1205178,0.6533817,1.6007501,2.1156568,-4.0030292e-4,0,0,0,0,0,2.0545163,90,6.0232633,858.2143248,0.0010709,334.9489975,0.0631114,2.2647351e6,10.5791,87.8996865,0.0075083,0.0153353,0.0022146
